id,text,labels,group,split,genre_top,subset
2,Track: Food. Artist: AWOL. Album: AWOL - A Way Of Life. From New Jersey. Tags: awol.,Hip-Hop,AWOL,train,Hip-Hop,small
5,Track: This World. Artist: AWOL. Album: AWOL - A Way Of Life. From New Jersey. Tags: awol.,Hip-Hop,AWOL,train,Hip-Hop,small
10,"Track: Freeway. Artist: Kurt Vile. Album: Constant Hitmaker. Tags: philly, kurt vile.",Pop,Kurt Vile,train,Pop,small
140,"Track: Queen Of The Wires. Artist: Alec K. Redfearn & the Eyesores. Album: The Blind Spot. From Providence, RI. Tags: alec k redfearn and the eyesores.",Folk,Alec K. Redfearn & the Eyesores,train,Folk,small
141,"Track: Ohio. Artist: Alec K. Redfearn & the Eyesores. Album: Every Man For Himself. From Providence, RI. Tags: alec k redfearn and the eyesores.",Folk,Alec K. Redfearn & the Eyesores,train,Folk,small
148,"Track: Blackout 2. Artist: Contradiction. Album: Contradiction. From Chicago, IL. Tags: contradiction.",Avant-Garde|Experimental,Contradiction,val,Experimental,small
182,Track: Jules Lost His Jewels. Artist: Ariel Pink's Haunted Graffiti. Album: Worn Copy. Tags: ariel pinks haunted graffiti.,Rock,Ariel Pink's Haunted Graffiti,test,Rock,small
190,"Track: Castle Of Stars. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
193,"Track: Here With You. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
194,"Track: All I want to Do. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
197,"Track: Piano 2. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
200,"Track: Baby Come Home. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
203,"Track: Song For R. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
204,"Track: My Dream. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
207,"Track: Piano 3. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
210,"Track: In the French Court. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
211,"Track: In America. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
212,"Track: When I Arive. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
213,"Track: Boute. Artist: Au. Album: Au. From Portland, OR. Tags: au.",Pop,Au,train,Pop,small
255,"Track: We Want to be Old. Artist: Bird Names. Album: On Opaque Things. Tags: athens ga, bird names, athens, vermont, chicago, fun, brattleboro.",Rock,Bird Names,train,Rock,small
256,"Track: Toggle. Artist: Black Elk. Album: Black Elk. From Portland, OR. Tags: black elk.",Rock|Metal,Black Elk,train,Rock,small
368,"Track: Vampires. Artist: Blah Blah Blah. Album: 30th Anniversary Blah Blah Blah. From Colchester UK. Tags: blah blah blah, chris andrews.",Post-Punk|Rock|Punk,Blah Blah Blah,train,Rock,small
424,Track: The Ambient Honky. Artist: Brian Joseph Davis. Album: The Definitive Host. Tags: brian joseph davis.,Avant-Garde|Experimental,Brian Joseph Davis,train,Experimental,small
459,"Track: Machines and Muscles. Artist: CAVE. Album: Butthash. From Chicago, IL. Tags: cave, chicago.",Rock,CAVE,val,Rock,small
534,Track: I Can See You. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,small
540,Track: The Black Pirate. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,small
546,Track: If You Have No One. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,small
574,"Track: Caliente Queen. Artist: Clockcleaner. Album: Babylon Rules. Tags: philadelphia, clockcleaner.",Punk|Rock,Clockcleaner,train,Rock,small
602,Track: Disappearing. Artist: Dora Bleu. Album: Clones of Eros. Tags: dora bleu.,Folk,Dora Bleu,val,Folk,small
615,"Track: Immaterial, side A. Artist: EKG. Album: Immaterial. From Chicago, IL. Tags: ekg.",Electroacoustic|Experimental,EKG,train,Experimental,small
620,"Track: Arabesque. Artist: Ed Askew. Album: Viridian City. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
621,"Track: Blue Eyed Baby. Artist: Ed Askew. Album: Rainy Day Song. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
625,"Track: Climbing To The Top. Artist: Ed Askew. Album: Rainy Day Song. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
666,"Track: Heat. Artist: Explode Into Colors. Album: summer 2008 demos. From Portland, OR. Tags: explode into colors.",International|Reggae - Dub,Explode Into Colors,train,International,small
667,"Track: Sharpen The Knife. Artist: Explode Into Colors. Album: summer 2008 demos. From Portland, OR. Tags: explode into colors.",International|Reggae - Dub,Explode Into Colors,train,International,small
676,Track: The Tension. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,small
690,"Track: Cataclysm. Artist: Flying Luttenbachers. Album: Cataclysm. From Chicago, IL. Tags: flying luttenbachers.",Rock,Flying Luttenbachers,val,Rock,small
694,"Track: Planet Say (featuring Faust). Artist: Food For Animals. Album: mp3 single with Faust. From Baltimore, MD. Tags: baltimore, food for animals.",Hip-Hop,Food For Animals,train,Hip-Hop,small
695,"Track: Elephants. Artist: Food For Animals. Album: Cock Rock Disco 2006 Free Compilation. From Baltimore, MD. Tags: baltimore, food for animals.",Hip-Hop,Food For Animals,train,Hip-Hop,small
704,"Track: Mano De Dios. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International|Latin America,Fósforo,test,International,small
705,"Track: Tio Cocodrilo. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International|Latin America,Fósforo,test,International,small
706,"Track: Esto Es Califas. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International|Latin America,Fósforo,test,International,small
707,"Track: Cochabamba. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International|Latin America,Fósforo,test,International,small
708,"Track: Desconocido. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International|Latin America,Fósforo,test,International,small
709,"Track: Cumbia De Obama. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International|Latin America,Fósforo,test,International,small
714,"Track: Circle Moon. Artist: Fursaxa. Album: The Cult From Moon Mountain. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
715,"Track: Kokopelli. Artist: Fursaxa. Album: Kobold Moon. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
716,"Track: Saxalainen. Artist: Fursaxa. Album: Kobold Moon. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
718,"Track: Song Of The Spindle Berry. Artist: Fursaxa. Album: Kobold Moon. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
777,"Track: Relaxing. Artist: Glove Compartment. Album: Quickies. From Brooklyn, NY. Tags: glove compartment.",Rock,Glove Compartment,train,Rock,small
814,Track: Motion Passings. Artist: Hall Of Fame. Album: Hall of Fame (2000). Tags: hall of fame.,Folk,Hall Of Fame,train,Folk,small
821,"Track: Sir. Artist: Hecuba. Album: Sir 12"" EP. From Los Angeles, CA. Tags: hecuba.",Pop,Hecuba,train,Pop,small
822,"Track: Tom & Jerry. Artist: Hecuba. Album: Sir 12"" EP. From Los Angeles, CA. Tags: hecuba.",Pop,Hecuba,train,Pop,small
825,"Track: Death March. Artist: Here Comes A Big Black Cloud!!. Album: Pompeii. From Portland, OR. Tags: here comes a big black cloud.",Indie-Rock|Rock,Here Comes A Big Black Cloud!!,train,Rock,small
853,Track: Welsinsni Melodyi. Artist: Hutzl Ukranian Ensemble. Album: Black Mirror: Reflections In Global Musics (1915-1955). Tags: hutzl ukranian ensemble.,International,Hutzl Ukranian Ensemble,train,International,small
890,"Track: Softly Tomorrow. Artist: Ilyas Ahmed. Album: Century of Moonlight. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,small
892,"Track: Phantom Sky. Artist: Ilyas Ahmed. Album: The Vertigo of Dawn. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,small
897,"Track: 02. Artist: Infinite Body. Album: White Hymn. From Pasadena, CA. Tags: infinite body.",Noise|Experimental,Infinite Body,train,Experimental,small
993,"Track: Or So I've Been Told. Artist: Jad Fair and Jason Willett. Album: The Sounds of Megaphone Unlimited. Tags: baltimore, jad fair and jason willett.",Rock,Jad Fair and Jason Willett,val,Rock,small
995,"Track: No Good Deed Goes Unpunished. Artist: Kevin Shields. Album: The Death of Patience. From Los Angeles, CA. Tags: kevin shields.",Noise|Experimental,Kevin Shields,train,Experimental,small
997,"Track: Nothing's Ever Ending. Artist: Kevin Shields. Album: The Death of Patience. From Los Angeles, CA. Tags: kevin shields.",Noise|Experimental,Kevin Shields,train,Experimental,small
998,"Track: Apparently. Artist: Kevin Shields. Album: The Death of Patience. From Los Angeles, CA. Tags: kevin shields.",Noise|Experimental,Kevin Shields,train,Experimental,small
1039,"Track: 13 Monsters. Artist: Lightning Bolt. Album: Ride the Skies. From Providence, RI. Tags: providence, providence ri, providence noise rock, lightning bolt.",Rock,Lightning Bolt,train,Rock,small
1040,"Track: Dracula Mountain. Artist: Lightning Bolt. Album: Wonderful Rainbow. From Providence, RI. Tags: providence, providence ri, providence noise rock, lightning bolt.",Rock,Lightning Bolt,train,Rock,small
1066,"Track: Helicopter de Cristal. Artist: Lucky Dragons. Album: Norteñas. From Los Angeles, CA. Tags: lucky dragons.",Experimental,Lucky Dragons,test,Experimental,small
