id,text,labels,group,split,start_s,end_s
-0Gj8-vB1q4,"The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful, like something you would hear at Sunday services.",low quality,-0Gj8-vB1q4,,30,40
-0SdAVK79lg,This song features an electric guitar as the main instrument. The guitar plays a descending run in the beginning then plays an arpeggiated chord followed by a double stop hammer on to a higher note and a descending slide followed by a descending chord run. The percussion plays a simple beat using rim shots. The percussion plays in common time. The bass plays only one note on the first count of each bar. The piano plays backing chords. There are no voices in this song. The mood of this song is relaxing. This song can be played in a coffee shop.,slow tempo|bass|instrumental,-0SdAVK79lg,,30,40
-0vPFx-wRRI,"a male voice is singing a melody with changing tempos while snipping his fingers rhythmically. The recording sounds like it has been recorded in an empty room. This song may be playing, practicing snipping and singing along.",amateur recording,-0vPFx-wRRI,,30,40
-0xzrMun0Rs,This song contains digital drums playing a simple groove along with two guitars. One strumming chords along with the snare the other one playing a melody on top. An e-bass is playing the footnote while a piano is playing a major and minor chord progression. A trumpet is playing a loud melody alongside the guitar. All the instruments sound flat and are being played by a keyboard. There are little bongo hits in the background panned to the left side of the speakers. Apart from the music you can hear eating sounds and a stomach rumbling. This song may be playing for an advertisement.,piano|e-bass|acoustic guitar|medium tempo,-0xzrMun0Rs,,30,40
-1LrH01Ei1w,This song features a rubber instrument being played. The strumming is fast. The melody is played on one fretted string and other open strings. The melody is played on the lower octave and is later repeated on the higher octave. This song can be played at a folk party.,instrumental|fast tempo,-1LrH01Ei1w,,30,40
-1OlgJWehn8,"This clip is three tracks playing consecutively. The first one is an electric guitar lead harmony with a groovy bass line, followed by white noise and then a female vocalisation to a vivacious melody with a keyboard harmony, slick drumming, funky bass lines and male backup. The three songs are unrelated and unsynced.",instrumental|bass guitar|keyboard harmony|keyboard harmony,-1OlgJWehn8,,30,40
-1UWSisR2zo,"A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track for the dancing children. The audio quality is very poor with high gains and hissing noise.",live performance|poor audio quality|medium tempo|male singer,-1UWSisR2zo,,30,40
-3Kv4fdm7Uk,someone is playing a high pitched melody on a steel drum. The file is of poor audio-quality.,amateur recording,-3Kv4fdm7Uk,,30,40
-4NLarMj4xU,"The Pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. It sounds emotional, sad, passionate and like something you would hear on a radio.",pop|punchy kick|emotional|passionate,-4NLarMj4xU,,30,40
-5FoeegAgvU,The instrumental music features an ensemble that resembles the orchestra. The melody is being played by a brass section while strings provide harmonic accompaniment. At the end of the music excerpt one can hear a double bass playing a long note and then a percussive noise.,instrumental|percussion,-5FoeegAgvU,,230,240
-5f6hjZf9Yw,This folk song features a male voice singing the main melody in an emotional mood. This is accompanied by an accordion playing fills in the background. A violin plays a droning melody. There is no percussion in this song. This song can be played at a Central Asian classical concert.,male voice|slow tempo,-5f6hjZf9Yw,,30,40
-5xOcMJpTUk,"A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.",energetic|passionate,-5xOcMJpTUk,,70,80
-6HBGg1cAI0,This middle eastern folk song features a male voice. This is accompanied by a string instrument called the oud playing the melody in between lines. A variety of middle-eastern percussion instruments are played in the background. A tambourine is played on every count. A darbuka plays a simple beat. This folk song can be played in a movie scene set in a Moroccan market.,male voice|moderate tempo,-6HBGg1cAI0,,30,40
-6QGvxvaTkI,"The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.",low quality|live performance|noisy|passionate,-6QGvxvaTkI,,280,290
-6pcgdLfb_A,This is an R&B/soul music piece. There is a male vocalist singing melodically and in a sensual manner over multiple tracks. The melody of the beat is provided by a string sample. There is a strong bass sound in the piece. The rhythm is provided by a groovy electronic drum beat. There is an urban feel to this piece. It could be used in the soundtrack of a TV series where two characters are sharing intimate moments.,male vocal|electronic drums|groovy,-6pcgdLfb_A,,110,120
-7B9tPuIP-w,"A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.",electric guitar,-7B9tPuIP-w,,450,460
-7wUQP6G5EQ,"The low quality recording features a renaissance music that consists of soft wooden percussion and mellow, harmonized flute melody playing on top of it. The recording is a bit noisy, but it also sounds soulful, mellow, passionate, emotional and vintage - It really puts the listener in a period of renaissance.",low quality|noisy|mellow|passionate|emotional,-7wUQP6G5EQ,,30,40
-88me9bBzrk,Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.,medium tempo,-88me9bBzrk,,30,40
-8C-gydUbR8,"A children’s choir sings this devotional melody. The song is medium tempo with a steady bass line, drumming rhythm and clapping percussion. The song is black gospel choral music played in front of a live congregation. The audio quality is very poor.",medium tempo|keyboard harmony,-8C-gydUbR8,,30,40
-8cgbhIR_pw,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",low quality|noisy|emotional,-8cgbhIR_pw,,30,40
-BHPu-dPmWQ,"The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guitar melody, synth lead melody and groovy bass guitar. At the end of the loop there is a short snare roll and some claps. It sounds easygoing and melancholic thanks to those vocals.",punchy kick|easygoing,-BHPu-dPmWQ,,30,40
-BIMKnb3tlo,"This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful.",electronic drums|upbeat,-BIMKnb3tlo,,410,420
-Bu7YaslRW0,A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.,slow tempo,-Bu7YaslRW0,,30,40
-ByoSbgzr4M,"This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous with immense control and dexterity with the instrument.",instrumental|electric guitar|fast tempo|rock,-ByoSbgzr4M,,0,10
-CUp_Tmg2Y0,"The low quality recording features a drum solo that consists of a double pedal kick, punchy snare, shimmering cymbals and boomy toms. It sounds energetic and manic, thanks to that kick pattern. The recording is mono and noisy.",low quality|mono|noisy|punchy snare|energetic,-CUp_Tmg2Y0,,30,40
-Dtir74TiUM,This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.,electronic drums|upbeat|energetic,-Dtir74TiUM,,40,50
-EVRXQpt1-8,"Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance.",bass|slow tempo,-EVRXQpt1-8,,50,60
-FEPOSP7ay0,The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.,low quality|mono|noisy,-FEPOSP7ay0,,260,270
-FFx68qSAuY,This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. The rhythm consists of a slightly fast-paced rock acoustic drum beat. The piece has an aggressive atmosphere. It could be used in the soundtrack of an action-filled video game.,electric guitar|bass guitar|acoustic guitar,-FFx68qSAuY,,190,200
-FlvaZQOr2I,"The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor.",poor audio quality|instrumental music|medium tempo|poor audio quality,-FlvaZQOr2I,,90,100
-Gf4Ihv1zwc,This is a Christmas music piece with heavy influences from Celtic music. There is a female vocalist singing melodically as the lead. The melodic background is provided by the strings and the piano and at the same time Celtic instruments that resemble a harp and a dulcimer. There is a calming and positive aura to this piece. It could be playing in the background at a Christmas party. It could also be used in Christmas-themed shows or social media content.,piano,-Gf4Ihv1zwc,,50,60
-IZbvEO9wzU,This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,piano|electronic drums,-IZbvEO9wzU,,30,40
-JVWfFPBl84,"This audio clip features the sound produced at a particular frequency by a Tibetan singing bowl. This produces a continuous ringing sound. Toward the end of the clip, some other animal sounds can be heard. There are no other instruments in this song. This song can be played at a meditation center.",no voices|instrumental,-JVWfFPBl84,,330,340
-JvB5AL59fM,An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.,rock|e-bass|acoustic drums|uptempo,-JvB5AL59fM,,30,40
-M-6VinyMiY,"The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, shimmering hi hats and groovy bass guitar. It sounds emotional and easygoing.",low quality|rock|flat male vocal|shimmering hi hats|easygoing|emotional,-M-6VinyMiY,,30,40
-M6K3QoHh40,"The low quality recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner.",low quality|shimmering hi hats|groovy bass|noisy|passionate,-M6K3QoHh40,,30,40
-NmjCyqIavI,This is an amateur recording of a female voice beatboxing. It is a funny recording. It could be playing in the background of comedic social media content.,amateur recording,-NmjCyqIavI,,30,40
-O9mnfC61Ac,"This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.",acoustic guitar|electric guitar|slow tempo|easygoing,-O9mnfC61Ac,,0,10
-OAyRsvFGgc,"The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",low quality|noisy|rock|punchy snare|punchy kick|passionate,-OAyRsvFGgc,,30,40
-OUIEnuNd1I,This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.,instrumental,-OUIEnuNd1I,,30,40
-Q9MTRXS4bE,"This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.",instrumental|fast tempo|happy|upbeat,-Q9MTRXS4bE,,30,40
